old;new;1.58
hard;difficult;8.77
happy;cheerful;9.55
hard;easy;0.95
happy;glad;9.17
short;long;1.23
stupid;dumb;9.58
weird;strange;8.93
wide;narrow;1.03
easy;difficult;0.58
hard;simple;1.38
smart;dumb;0.55
happy;mad;0.95
large;huge;9.47
hard;tough;8.05
new;fresh;6.83
sharp;dull;0.6
wonderful;terrific;8.63
strange;odd;9.02
happy;angry;1.28
simple;easy;9.4
old;fresh;0.87
nice;generous;5.0
weird;normal;0.72
weird;odd;9.2
sad;funny;0.95
wonderful;great;8.05
beautiful;wonderful;6.5
confident;sure;8.27
large;big;9.55
strong;proud;3.17
restless;young;1.6
bad;great;0.35
difficult;simple;0.87
necessary;important;7.37
bad;terrific;0.65
mad;glad;1.45
honest;guilty;1.18
easy;tough;0.52
easy;flexible;4.1
certain;sure;8.42
different;normal;1.08
sly;clever;7.25
friendly;generous;5.9
long;narrow;3.57
big;heavy;6.18
bad;guilty;4.2
new;ancient;0.23
dull;funny;0.55
happy;young;2.0
easy;big;1.12
tiny;huge;0.6
polite;proper;7.63
dumb;clever;1.17
delightful;wonderful;8.65
delightful;cheerful;6.58
unhappy;mad;5.95
sick;crazy;3.57
bold;proud;3.97
sly;strange;1.97
strange;sly;2.07
dumb;rare;0.48
sly;tough;0.58
terrific;mad;0.4
fresh;wide;0.4
huge;dumb;0.48
large;flexible;0.48
dirty;narrow;0.3
groom;bride;3.17
night;day;1.88
south;north;2.2
plane;airport;3.65
uncle;aunt;5.5
bottom;top;0.7
friend;buddy;8.78
world;globe;6.67
leg;arm;2.88
woman;man;3.33
movie;film;8.87
bird;hawk;7.85
dog;cat;1.75
clothes;closet;3.27
sunset;sunrise;2.47
child;adult;2.98
book;story;5.63
winter;summer;2.38
bed;bedroom;3.4
roof;ceiling;7.58
arm;shoulder;4.85
sheep;lamb;8.42
boat;anchor;2.25
toe;finger;4.68
river;stream;7.3
date;calendar;4.42
sea;ocean;8.27
second;minute;4.62
hand;thumb;3.88
wood;log;7.3
mud;dirt;7.32
way;manner;7.62
mouse;cat;1.12
cop;sheriff;9.05
music;melody;6.98
mouth;lip;7.1
paper;cardboard;5.38
floor;ceiling;1.73
rod;curtain;3.03
boat;deck;4.28
car;horn;2.57
friend;guest;4.25
hand;wrist;3.97
telephone;booth;3.63
door;doorway;5.4
clothes;cloth;5.47
steak;meat;7.47
nail;thumb;3.55
winter;season;6.27
hat;coat;2.67
window;door;3.33
arm;wrist;3.57
glass;crystal;6.27
dinner;breakfast;3.33
arm;muscle;3.72
bread;flour;3.33
grass;blade;4.57
ball;basket;1.67
hose;garden;1.67
boy;kid;7.5
clothes;drawer;3.02
tower;bell;1.9
father;parent;7.07
parent;adult;5.37
bar;jail;1.9
chair;bench;6.67
cloud;fog;6.0
boy;son;6.75
water;ice;6.47
bed;blanket;3.02
area;zone;8.33
business;company;9.02
clothes;fabric;5.87
sweater;jacket;7.15
hand;foot;4.17
lens;camera;4.28
meal;dinner;7.15
eye;tear;3.55
loop;belt;3.1
motor;engine;8.65
cat;lion;6.75
door;gate;5.25
cat;pet;5.95
bone;jaw;4.17
cereal;wheat;3.75
house;key;1.9
blood;flesh;4.28
sofa;chair;6.67
wall;brick;4.68
horn;drum;2.68
strength;might;7.07
band;parade;3.92
stomach;waist;5.9
cloud;storm;5.6
joy;pride;5.0
noise;rattle;6.17
rain;mist;5.97
man;uncle;3.92
apple;juice;2.88
shore;coast;8.83
wire;cord;7.62
bird;turkey;6.58
bed;crib;7.3
bar;cage;2.8
water;salt;1.3
situation;condition;6.58
arm;body;4.05
boat;car;2.37
sandwich;lunch;6.3
bride;princess;2.8
insect;bee;6.07
animal;person;3.05
bed;hospital;0.92
cheek;tongue;4.52
disc;computer;3.2
curve;angle;3.33
grass;moss;5.0
foot;head;2.3
mother;guardian;6.5
mouth;tooth;6.3
bathroom;bedroom;3.4
plate;bowl;5.23
body;chest;4.45
son;father;3.82
man;father;4.83
beach;island;5.6
game;fun;3.42
weekend;week;4.0
couple;pair;8.33
woman;wife;5.72
purse;bag;8.33
bean;coffee;5.15
wood;paper;2.88
top;side;1.9
pain;harm;5.38
cow;goat;2.93
accident;emergency;4.93
friend;teacher;2.62
game;trick;2.32
brother;son;3.48
aunt;nephew;3.1
worker;mechanic;4.92
bee;queen;3.27
car;bicycle;3.47
goal;quest;5.83
cloud;weather;4.87
river;valley;1.67
sun;sky;2.27
target;arrow;3.25
chocolate;pie;2.27
opinion;choice;5.43
rhythm;melody;6.12
day;dawn;5.47
room;bath;3.33
fun;football;1.97
bone;ankle;3.82
apple;candy;2.08
lemon;tea;1.6
bee;ant;2.78
basketball;baseball;4.92
rice;bean;2.72
bed;furniture;6.08
machine;engine;5.58
beach;sea;4.68
jar;bottle;7.83
seed;mustard;3.48
guitar;drum;3.78
opinion;idea;5.7
north;west;3.63
diet;salad;2.98
mother;wife;3.02
dad;mother;3.55
captain;sailor;5.0
motor;boat;2.57
card;bridge;1.97
crowd;bunch;7.42
beach;reef;3.77
man;child;4.13
bread;cheese;1.95
champion;winner;8.73
menu;order;3.62
king;princess;3.27
danger;threat;8.78
buddy;companion;8.65
teacher;helper;4.28
body;stomach;3.93
tongue;throat;3.1
house;carpet;1.38
day;morning;4.87
friend;guy;3.88
song;story;3.97
ray;sunshine;6.83
chicken;rice;1.43
box;elevator;1.32
butter;potato;1.22
lake;swamp;4.92
salad;vinegar;1.13
flower;bulb;4.48
cloud;mist;6.67
driver;pilot;6.28
sugar;honey;5.13
body;shoulder;2.88
father;brother;4.2
moon;planet;5.87
ball;costume;2.32
room;bed;2.35
flower;bush;4.25
bone;knee;4.17
arm;knee;2.75
bottom;side;2.63
cat;rabbit;2.37
meat;sandwich;2.35
attitude;confidence;4.35
argument;agreement;1.45
medium;news;3.65
birthday;date;5.08
exit;doorway;5.5
aisle;hall;6.35
floor;deck;5.55
roof;floor;2.62
door;floor;1.67
shoulder;head;3.42
wagon;carriage;7.7
car;carriage;5.13
elbow;ankle;3.13
book;information;5.0
boy;partner;1.9
sky;universe;4.68
camp;cabin;4.2
girl;child;5.38
cottage;cabin;7.72
bird;hen;7.03
sunset;evening;5.98
adult;baby;2.22
head;nail;2.47
spoon;cup;2.02
bone;neck;2.53
frustration;anger;6.5
river;sea;5.72
task;job;8.87
prince;king;5.92
snow;weather;5.48
people;party;2.2
boy;brother;6.67
root;grass;3.55
money;pearl;2.1
money;diamond;3.42
vehicle;bus;6.47
house;barn;4.33
finger;palm;3.33
car;bridge;0.95
word;newspaper;2.47
bathroom;kitchen;3.1
door;kitchen;1.67
happiness;luck;2.38
happiness;peace;6.03
comfort;safety;5.8
confidence;self;3.12
discussion;argument;5.48
code;symbol;6.03
journey;trip;8.88
activity;movement;7.15
action;course;5.45
game;action;4.85
adult;guardian;6.9
newspaper;information;5.65
cousin;uncle;4.63
guy;partner;3.57
area;corner;2.07
wall;decoration;2.62
word;page;2.92
nurse;scientist;2.08
man;warrior;4.72
crowd;parade;3.93
aisle;hallway;6.75
room;cell;4.58
