take	remove	V	6.81	SYNONYMS
walk	trail	V	4.81	COHYPONYMS
shine	polish	V	7.80	SYNONYMS
cheat	sneak	V	3.65	NONE
smell	sniff	V	7.97	HYPER/HYPONYMS
plow	dig	V	6.64	NONE
believe	pretend	V	1.66	NONE
tap	pat	V	6.97	NONE
crunch	crack	V	3.65	NONE
try	practice	V	4.65	NONE
tear	fold	V	0.66	NONE
replace	move	V	1.49	HYPER/HYPONYMS
respond	ignore	V	0.83	NONE
laugh	sing	V	1.99	NONE
attack	sneak	V	1.66	COHYPONYMS
miss	catch	V	0.00	NONE
feel	touch	V	7.80	HYPER/HYPONYMS
connect	separate	V	1.49	ANTONYMS
protect	defend	V	7.80	HYPER/HYPONYMS
drive	walk	V	1.49	COHYPONYMS
build	grow	V	4.81	HYPER/HYPONYMS
cover	protect	V	6.81	HYPER/HYPONYMS
dislike	ignore	V	3.15	NONE
reflect	look	V	4.15	NONE
defeat	beat	V	8.47	HYPER/HYPONYMS
remind	repeat	V	5.31	NONE
go	let	V	2.82	NONE
shake	shiver	V	6.31	HYPER/HYPONYMS
take	carry	V	5.64	HYPER/HYPONYMS
ask	tell	V	0.66	HYPER/HYPONYMS
bend	break	V	4.65	NONE
tear	break	V	6.14	COHYPONYMS
jump	skip	V	5.48	SYNONYMS
agree	admit	V	3.98	NONE
give	bring	V	4.98	COHYPONYMS
go	move	V	6.31	SYNONYMS
kill	shoot	V	5.31	HYPER/HYPONYMS
crunch	chew	V	6.47	HYPER/HYPONYMS
carry	tow	V	4.98	NONE
sing	hum	V	5.98	COHYPONYMS
believe	know	V	3.65	NONE
hurt	smash	V	4.65	HYPER/HYPONYMS
prefer	hate	V	1.00	NONE
cook	bake	V	7.80	HYPER/HYPONYMS
break	destroy	V	8.30	HYPER/HYPONYMS
hit	slap	V	7.97	NONE
wrap	tie	V	5.31	NONE
pounce	bounce	V	2.99	NONE
respect	like	V	5.48	COHYPONYMS
put	take	V	1.49	HYPER/HYPONYMS
charge	cover	V	1.66	NONE
melt	freeze	V	0.17	ANTONYMS
flap	fold	V	2.16	NONE
die	survive	V	0.15	NONE
pull	lift	V	2.82	COHYPONYMS
live	let	V	1.99	NONE
destroy	kill	V	7.80	HYPER/HYPONYMS
buy	sell	V	0.00	ANTONYMS
rise	wake	V	8.30	NONE
pray	kneel	V	1.83	NONE
jump	climb	V	1.99	HYPER/HYPONYMS
rescue	survive	V	1.16	NONE
look	examine	V	8.30	HYPER/HYPONYMS
take	use	V	3.15	HYPER/HYPONYMS
color	decorate	V	4.48	COHYPONYMS
get	achieve	V	6.31	NONE
treat	buy	V	4.98	NONE
dump	waste	V	5.98	COHYPONYMS
know	meet	V	2.82	NONE
beat	kill	V	3.65	HYPER/HYPONYMS
gulp	slurp	V	4.98	NONE
say	speak	V	9.30	NONE
tend	help	V	7.47	HYPER/HYPONYMS
see	meet	V	5.31	SYNONYMS
kick	punch	V	1.66	COHYPONYMS
claim	take	V	5.15	SYNONYMS
sell	borrow	V	0.66	NONE
skip	miss	V	7.14	HYPER/HYPONYMS
talk	describe	V	5.15	NONE
wipe	wash	V	4.81	NONE
pray	hope	V	6.97	NONE
search	seek	V	9.63	SYNONYMS
lean	fall	V	2.16	HYPER/HYPONYMS
get	grab	V	6.31	HYPER/HYPONYMS
control	hold	V	5.15	HYPER/HYPONYMS
disturb	interrupt	V	8.63	SYNONYMS
seem	appear	V	7.64	SYNONYMS
repeat	do	V	2.99	NONE
separate	combine	V	0.50	ANTONYMS
have	hold	V	4.81	SYNONYMS
kill	live	V	0.33	NONE
run	hurry	V	5.98	HYPER/HYPONYMS
rub	hold	V	1.49	NONE
finish	start	V	0.50	ANTONYMS
