tiger;cat;7.35
tiger;tiger;10.00
book;paper;7.46
computer;keyboard;7.62
plane;car;5.77
train;car;6.31
bread;butter;6.19
cucumber;potato;5.92
doctor;nurse;7.00
smart;student;4.62
smart;stupid;5.81
book;library;7.46
bank;money;8.12
wood;forest;7.73
money;cash;9.15
king;queen;8.58
football;soccer;9.03
football;basketball;6.81
movie;star;7.38
movie;popcorn;6.19
movie;theater;7.92
drink;car;3.04
drink;ear;1.31
drink;mouth;5.96
drink;eat;6.87
baby;mother;7.85
drink;mother;2.65
gem;jewel;8.96
journey;voyage;9.29
coast;shore;9.10
magician;wizard;9.02
food;fruit;7.52
bird;crane;7.38
journey;car;5.85
food;rooster;4.42
coast;hill;4.38
coast;forest;3.15
glass;magician;2.08
noon;string;0.54
rooster;voyage;0.62
money;dollar;8.42
money;cash;9.08
money;property;7.57
money;bank;8.50
tiger;animal;7.00
tiger;zoo;5.87
planet;star;8.45
planet;moon;8.08
planet;sun;8.02
planet;galaxy;8.11
planet;space;7.92
cup;coffee;6.58
cup;object;3.69
cup;drink;7.25
cup;food;5.00
cup;liquid;5.90
weapon;secret;6.06
Mars;water;2.94
Mars;scientist;5.63
news;report;8.16
sign;recess;2.38
Wednesday;news;2.22
computer;news;4.47
record;number;6.31
skin;eye;6.22
theater;history;3.91
peace;plan;4.75
attempt;peace;4.25
stroke;hospital;7.03
school;center;3.44
peace;atmosphere;3.69
travel;activity;5.00
competition;price;6.44
problem;airport;2.38
car;flight;4.94
grocery;money;5.94
month;hotel;1.81
type;kind;8.97
bed;closet;6.72
closet;clothes;8.00
direction;combination;2.25
street;place;6.44
street;block;6.88
street;children;4.94
cell;phone;7.81
phone;equipment;7.13
equipment;maker;5.91
five;month;3.38
liquid;water;7.89
baseball;season;5.97
game;victory;7.03
game;team;7.69
game;defeat;6.97
food;preparation;6.22
start;year;4.06
start;match;4.47
game;round;5.97
day;summer;3.94
summer;nature;5.63
day;dawn;7.53
nature;environment;8.31
nature;man;6.25
man;woman;8.30
life;lesson;5.94
focus;life;4.06
change;attitude;5.44
family;planning;6.25
sugar;approach;0.88
problem;challenge;6.75
planet;people;5.75
experience;music;3.47
music;project;3.63
glass;metal;5.56
museum;theater;7.19
space;world;6.53
shower;thunderstorm;6.31
shower;flood;6.03
